sample,unit,location,,,,,,major elements in wt. %,,,,,,,,,,,,Trace elements in ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radiogenic isotopes,,,,,,,,,,,
,,degr. N,min.,degr. W,min.,depth (mbsl),,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,BaO,P2O5,,Li,Be,Sc,Ti,V,Cr,Co,Ni,Cu,Ga,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,,87Sr/86Sr,2 SE,143Nd/144Nd,2 SE,176Hf/177Hf,2 SE,206Pb/204Pb,2 SE,207Pb/204Pb,2 SE,208Pb/204Pb,2 SE
NA007-058,1650 AD,36,31.546,25,28.535,220,,73.53,0.09,13.56,1.35,0.1,0.3,0.86,5.8,4.36,0.055,0.011,,23.14,2.43,8.07,433,0.54,0.23,0.31,0.42,5.36,14.55,93.1,48.4,20.42,130,19.5,0.74,1.71,423.6,22.36,37.26,4.39,14.93,2.72,0.353,2.42,0.426,2.83,0.607,2.02,0.345,2.5,0.402,3.56,1.59,0.64,1.75,15.45,0.15,11.37,2.68,,0.704813,0.000008,0.51273,0.000009,0.282965,0.000009,18.7342,0.0004,15.6649,0.0004,38.8241,0.0011
NA007-071**,1650 AD,36,30.868,25,28.958,182,,74.27,0.1,13.97,1.56,0.11,0.29,0.91,4.29,4.43,0.056,0.016,,21.44,2.21,10.28,509,1.01,0.3,0.37,0.23,4.06,13.84,87.4,62.4,20.05,138.5,18.14,0.69,1.56,404.5,22.89,39.97,4.47,15.26,2.71,0.402,2.4,0.424,2.75,0.592,1.94,0.335,2.42,0.382,3.57,1.43,0.58,1.44,14.17,0.13,11.28,2.55,,0.704986,0.000009,0.51274,0.000006,0.282953,0.000008,18.7362,0.0005,15.6661,0.0004,38.8268,0.0012
NA007-073,1650 AD,36,30.837,25,28.942,151,,73.66,0.09,13.61,1.39,0.1,0.3,0.84,5.56,4.39,0.053,0.012,,26.67,2.33,5.84,388,0.59,0.79,0.26,0.84,7.66,14.33,108.1,55.6,22.8,131.9,18.89,0.71,2.13,437.1,26.82,48.02,5.14,17.42,3.04,0.409,2.72,0.48,3.08,0.677,2.22,0.382,2.7,0.42,3.58,1.49,0.57,1.51,15.06,0.14,13.53,2.91,,0.704787,0.000009,0.512737,0.000006,0.282943,0.000009,18.7355,0.0005,15.666,0.0005,38.8267,0.0014
NA007-075*,1650 AD,36,31.163,25,29.473,373,,75.29,0.07,13.73,1.42,0.12,0.21,0.89,4.04,4.21,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,4,n.d.,1,n.d.,14,110.3,58,22.9,126,19.4,n.d.,n.d.,436,30,57,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-085*,1650 AD,36,31.983,25,29.165,254,,74.41,0.07,13.73,1.37,0.11,0.2,0.8,4.99,4.28,n.d.,0.03,,n.d.,n.d.,n.d.,n.d.,1,4,n.d.,1,n.d.,13,106.4,60,22,124,18.9,n.d.,n.d.,375,24,49,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13,n.d.,13,2,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-090**,1650 AD,36,31.736,25,28.766,292,,74.77,0.08,13.74,1.42,0.1,0.23,0.84,4.32,4.43,0.054,0.013,,23.34,2.53,10.54,450,0.94,0.44,0.32,0.48,2.21,14.89,98,55.4,22.09,130.1,19.73,0.77,1.72,412.3,24.63,42.9,4.79,16.27,2.85,0.38,2.6,0.459,3.01,0.637,2.06,0.367,2.55,0.408,3.45,1.53,0.64,1.64,16.75,0.13,12.14,2.74,,0.705072,0.000009,0.512741,0.000006,0.282952,0.000008,18.7284,0.0005,15.6654,0.0005,38.8132,0.0016
NA014-019**,1650 AD,36,31.587,25,29.207,502,,74.43,0.1,13.94,1.5,0.1,0.17,0.9,4.42,4.36,0.058,0.018,,17.6,2.55,9.11,457,2.18,0.29,0.29,0.5,4.34,14.1,103.4,65,19.76,148,18.25,0.84,2.01,460.3,25.31,55.95,4.91,16.64,2.93,0.432,2.55,0.454,2.87,0.626,2.01,0.343,2.47,0.387,4,1.52,0.6,1.71,23.89,0.13,13.2,3.45,,0.704791,0.000009,0.512737,0.000008,0.282968,0.000008,18.7417,0.0007,15.6731,0.0006,38.8463,0.0016
NA007-051*,K2,36,31.76,25,29.593,311,,74.73,0.07,13.92,1.49,0.12,0.11,0.92,4.62,4,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,3,n.d.,0,n.d.,15,111.2,71,23.2,143,19.8,n.d.,n.d.,465,30,57,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-052*,K2,36,31.814,25,29.636,260,,74.78,0.08,13.91,1.51,0.12,0.11,0.88,4.59,4,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,2,n.d.,1,n.d.,15,111.9,68,23.6,146,20,n.d.,n.d.,468,30,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,14,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
NA007-053*,K2,36,31.978,25,29.398,158,,75.07,0.08,14.01,1.48,0.11,0.11,0.9,4.11,4.09,n.d.,0.02,,n.d.,n.d.,n.d.,n.d.,1,2,n.d.,1,n.d.,14,111.2,71,23.5,148,19.9,n.d.,n.d.,463,30,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13,n.d.,14,3,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,,n.d.,
